rank,finalWorth,category,personName,age,country,city,source,gender,title,population_country
89,18500,Finance & Investments,David Tepper,65,United States,Palm Beach,Hedge funds,M,President and Founder,328239523
89,18500,Energy,Gennady Timchenko,70,Russia,Moscow,"Oil, gas",M,,144373535
89,18500,Energy,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,M,Chairman and CEO,328239523
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Franklin,Quicken Loans,M,,328239523
93,17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,London,Steel,M,Chairman and CEO,66834405
94,17500,Finance & Investments,Steve Cohen,66,United States,Greenwich,Hedge funds,M,Founder,328239523
94,17500,Metals & Mining,Savitri Jindal & family,73,India,Hisar,Steel,F,,1366417754
94,17500,Finance & Investments,Carl Icahn,87,United States,Indian Creek,Investments,M,Founder,328239523
97,17400,Fashion & Retail,"John Menard, Jr.",83,United States,Eau Claire,Home improvement stores,M,Founder,328239523
97,17400,Real Estate,Donald Bren,90,United States,Newport Beach,Real estate,M,Chairman,328239523
99,17100,Media & Entertainment,Rupert Murdoch & family,92,United States,New York,"Newspapers, TV network",M,Chairman and CEO,328239523
100,16700,Finance & Investments,Vicky Safra & family,70,Switzerland,Crans-Montana,Banking,F,,8574832
101,16500,Finance & Investments,Renata Kellnerova & family,55,Czech Republic,Prague,"Finance, telecommunications",F,,10669709
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",M,,83132799
103,16300,Healthcare,Li Xiting,72,China,Shenzhen,medical devices,M,,1397715000
104,16200,Technology,Eric Schmidt,67,United States,Atherton,Google,M,,328239523
104,16200,Fashion & Retail,Stefan Persson,75,Sweden,Stockholm,H&M,M,Chairman,10285453
106,16000,Finance & Investments,Michael Platt,55,Switzerland,Geneva,Hedge funds,M,Founder ,8574832
107,15900,Food & Beverage,Pang Kang,67,China,Foshan,Soy sauce,M,,1397715000
108,15800,Real Estate,Peter Woo,76,Hong Kong,Hong Kong,Real estate,M,,
108,15800,Food & Beverage,Jorge Paulo Lemann & family,83,Switzerland,Zurich,Beer,M,"Investor, Philanthropist",8574832
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,,Germany,,Supermarkets,M,,83132799
108,15800,Fashion & Retail,Beate Heister,,,,Supermarkets,F,,
112,15600,Healthcare,Dilip Shanghvi,67,India,Mumbai,Pharmaceuticals,M,,1366417754
113,15500,Technology,Robert Pera,45,United States,San Jose,Wireless networking,M,Chief Executive Officer,328239523
114,15300,Fashion & Retail,Radhakishan Damani,68,India,Mumbai,"Retail, investments",M,,1366417754
115,15200,Automotive,Huang Shilin,56,China,Ningde,Batteries,M,,1397715000
116,14900,Fashion & Retail,David Green & family,81,United States,Oklahoma City,Retail,M,CEO,328239523
116,14900,Diversified,Dhanin Chearavanont,83,Thailand,Bangkok,Diversified,M,,69625582
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,Bangkok,"Alcohol, real estate",M,,69625582
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,London,Heineken,F,,66834405
120,14600,Healthcare,Xu Hang,60,China,Shenzhen,Medical devices,M,,1397715000
121,14500,Automotive,Wei Jianjun & family,59,China,Baoding,Automobiles,M,,1397715000
122,14400,Metals & Mining,Alisher Usmanov,69,Uzbekistan,Tashkent,"Steel, telecom, investments",M,Founder,33580650
123,14300,Manufacturing,Goh Cheng Liang,95,Singapore,Singapore,Paints,M,,5703569
124,14200,Diversified,Kumar Birla,55,India,Mumbai,Commodities,M,,1366417754
124,14200,Manufacturing,Aliko Dangote,65,Nigeria,Lagos,"Cement, sugar",M,CEO,200963599
126,14100,Real Estate,Kwong Siu-hing,93,Hong Kong,Hong Kong,Real estate,F,,
127,14000,Diversified,Idan Ofer,67,United Kingdom,London,Shipping,M,,66834405
128,13900,Healthcare,Chen Bang,57,China,Changsha,Hospitals,M,,1397715000
128,13900,Gambling & Casinos,Lui Che Woo,94,Hong Kong,Hong Kong,Casinos/hotels,M,,
130,13700,Technology,Jan Koum,47,United States,Atherton,WhatsApp,M,"CEO, cofounder",328239523
130,13700,Construction & Engineering,Diane Hendricks,76,United States,Afton,Building supplies,F,Cofounder,328239523
130,13700,Logistics,John Fredriksen,78,United Kingdom,London,Shipping,M,Investor,66834405
133,13300,Real Estate,Joseph Lau,71,Hong Kong,Hong Kong,Real estate,M,,
133,13300,Sports,Jerry Jones,80,United States,Dallas,Dallas Cowboys,M,President and General Manager,328239523
133,13300,Energy,George Kaiser,80,United States,Tulsa,"Oil & gas, banking",M,Chairman,328239523
136,13200,Automotive,Lu Xiangyang,60,China,Guangzhou,"Automobiles, batteries",M,,1397715000
137,13100,Real Estate,Harry Triguboff,90,Australia,Sydney,Real estate,M,,25766605
138,12900,Finance & Investments,Uday Kotak,64,India,Mumbai,Banking,M,,1366417754
138,12900,Sports,Stanley Kroenke,75,United States,Electra,"Sports, real estate",M,,328239523
140,12600,Energy,Mikhail Fridman,58,United Kingdom,London,"Oil, banking, telecom",M,,66834405
141,12300,Energy,Sarath Ratanavadi,57,Thailand,Bangkok,Energy,M,,69625582
142,12200,Metals & Mining,Dang Yanbao,50,China,Yinchuan,Coal,M,,1397715000
142,12200,Healthcare,Jiang Rensheng & family,69,China,Chongqing,Vaccines,M,,1397715000
144,12100,Automotive,Shahid Khan,72,United States,Naples,Auto parts,M,,328239523
145,12000,Technology,Laurene Powell Jobs & family,59,United States,Palo Alto,"Apple, Disney",F,"Investor, Philanthropist",328239523
146,11800,Diversified,Robert Kuok,99,Hong Kong,Hong Kong,"Palm oil, shipping, property",M,,
147,11600,Real Estate,Stephen Ross,82,United States,New York,Real estate,M,,328239523
148,11500,Technology,Pavel Durov,38,United Arab Emirates,Dubai,Messaging app,M,,9770529
148,11500,Healthcare,Andreas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,M,,83132799
148,11500,Healthcare,Thomas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,M,,83132799
151,11400,Fashion & Retail,Michael Rubin,50,United States,Bryn Mawr,Online retail,M,CEO,328239523
151,11400,Food & Beverage,Liu Hanyuan,59,China,Chengdu,Agribusiness,M,,1397715000
153,11300,Finance & Investments,Mikhail Prokhorov,57,Switzerland,Frauenfeld,Investments,M,,8574832
153,11300,Manufacturing,Anthony Pratt,62,Australia,Melbourne,Manufacturing,M,,25766605
153,11300,Manufacturing,Viatcheslav Kantor,69,Israel,Herzliya,"Fertilizer, real estate",M,,9053300
153,11300,Finance & Investments,Israel Englander,74,United States,New York,Hedge funds,M,Founder,328239523
157,11100,Fashion & Retail,Johann Rupert & family,72,South Africa,Cape Town,Luxury goods,M,,58558270
157,11100,Fashion & Retail,Giorgio Armani,88,Italy,Milan,Luxury goods,M,,60297396
159,11000,Technology,Zhang Zhidong,51,China,Shenzhen,Internet media,M,,1397715000
159,11000,Finance & Investments,Gong Hongjia & family,58,Hong Kong,Hong Kong,Video surveillance,M,,
161,10900,Fashion & Retail,Ricardo Salinas Pliego & family,67,Mexico,Mexico City,"Retail, media",M,,126014024
161,10900,Finance & Investments,Philip Anschutz,83,United States,Denver,"Energy, sports, entertainment",M,,328239523
161,10900,Fashion & Retail,Judy Love & family,85,United States,Oklahoma City,Gas stations,F,Chairman and CEO,328239523
164,10700,Media & Entertainment,Donald Newhouse,93,United States,New York,Media,M,,328239523
165,10600,Food & Beverage,Marcel Herrmann Telles,73,Brazil,Sao Paulo,Beer,M,,212559417
165,10600,Sports,Robert Kraft,81,United States,Brookline,"Manufacturing, New England Patriots",M,Chairman & CEO,328239523
167,10500,Fashion & Retail,Sky Xu,39,China,Guangzhou,E-commerce,M,,1397715000
167,10500,Finance & Investments,Changpeng Zhao,45,United Arab Emirates,Dubai,Cryptocurrency exchange,M,,9770529
167,10500,Finance & Investments,Suleiman Kerimov & family,57,Russia,Moscow,Gold,M,,144373535
170,10300,Finance & Investments,Andrew Beal,70,United States,Dallas,"Banks, real estate",M,,328239523
171,10200,Technology,Eduardo Saverin,41,Singapore,Singapore,Facebook,M,Investor,5703569
171,10200,Technology,Mike Cannon-Brookes,43,Australia,Sydney,Software,M,,25766605
171,10200,Automotive,Georg Schaeffler,58,Germany,Herzogenaurach,Auto parts,M,,83132799
171,10200,Healthcare,Carl Cook,60,United States,Bloomington,Medical devices,M,,328239523
171,10200,Energy,Jeffery Hildebrand,64,United States,Houston,Oil,M,,328239523
171,10200,Manufacturing,Viktor Rashnikov,74,Russia,Magnitogorsk,Steel,M,,144373535
171,10200,Fashion & Retail,Christy Walton,74,United States,Jackson,Walmart,F,,328239523
171,10200,Technology,David Duffield,82,United States,Incline Village,Business software,M,Chairman and Cofounder,328239523
179,10100,Technology,Scott Farquhar,43,Australia,Sydney,Software,M,,25766605
179,10100,Real Estate,Wu Yajun,59,China,Beijing,Real estate,F,,1397715000
179,10100,Diversified,Quek Leng Chan,81,Malaysia,Kuala Lumpur,"Banking, property",M,,32447385
182,10000,Energy,Autry Stephens,85,United States,Midland,Oil,M,,328239523
183,9900,Service,Liu Yongxing,74,China,Shanghai,Diversified,M,Chairman,1397715000
184,9800,Logistics,"Jacques Saadé, Jr.",51,France,Marseille,Shipping,M,,67059887
184,9800,Logistics,Rodolphe Saadé,53,France,Marseille,Shipping,M,Chairman and CEO,67059887
184,9800,Logistics,Tanya Saadé Zeenny,55,France,Marseille,Shipping,F,,67059887
184,9800,Diversified,Vinod Adani,74,United Arab Emirates,Dubai,"Infrastructure, commodities",M,,9770529
184,9800,Finance & Investments,Melker Schorling & family,75,Sweden,Stockholm,Investments,M,,10285453
184,9800,Fashion & Retail,Nicolas Puech,80,Switzerland,Martigny,Hermes,M,,8574832
190,9700,Technology,Lei Jun,53,China,Beijing,Smartphones,M,Founder and CEO,1397715000
190,9700,Finance & Investments,Michael Kim,59,South Korea,Seoul,Private equity,M,,51709098
190,9700,Manufacturing,Andrei Guriev & family,63,Russia,Moscow,Fertilizers,M,,144373535
190,9700,Healthcare,Sun Piaoyang,64,China,Lianyungang,Pharmaceuticals,M,,1397715000
190,9700,Manufacturing,Friedhelm Loh,76,Germany,Haiger,Manufacturing,M,,83132799
195,9600,Food & Beverage,Marijke Mars,58,United States,Los Angeles,"Candy, pet food",F,,328239523
195,9600,Food & Beverage,Pamela Mars,62,United States,Alexandria,"Candy, pet food",F,,328239523
195,9600,Food & Beverage,Valerie Mars,64,United States,New York,"Candy, pet food",F,,328239523
195,9600,Food & Beverage,Victoria Mars,66,United States,Philadelphia,"Candy, pet food",F,,328239523
195,9600,Manufacturing,Luo Liguo & family,67,China,Ningbo,Chemicals,M,,1397715000
195,9600,Technology,Rick Cohen & family,70,United States,Keene,Warehouse automation,M,Entrepreneur,328239523
195,9600,Energy,Jin Baofang,70,China,Xingtai,Solar panels,M,,1397715000
202,9500,Finance & Investments,Vincent Bolloré & family,71,France,Paris,Investments,M,,67059887
202,9500,Diversified,Jim Pattison,94,Canada,Vancouver,Diversified,M,"Founder, Chairman and CEO",36991981
204,9400,Technology,Wang Xing,44,China,Beijing,Food delivery,M,,1397715000
204,9400,Healthcare,Ernesto Bertarelli,57,Switzerland,Gstaad,"Biotech, investments",M,,8574832
206,9300,Technology,Brian Chesky,41,United States,San Francisco,Airbnb,M,CEO and Cofounder,328239523
206,9300,Manufacturing,James Dyson,75,United Kingdom,Gloucestershire,Vacuums,M,,66834405
208,9200,Energy,Daniel Kretinsky,47,Czech Republic,Prague,"Energy, investments",M,,10669709
208,9200,Diversified,Roman Abramovich & family,56,Russia,Moscow,"Steel, investments",M,,144373535
